Sample_ID	Treatment_	Media	cell_line
Std-1	vehicle	proliferation	Rat_primary_oligodendrocyte
Std-2	vehicle	proliferation	Rat_primary_oligodendrocyte
Std-3	vehicle	proliferation	Rat_primary_oligodendrocyte
Std-4	vehicle	proliferation	Rat_primary_oligodendrocyte
Std-5	vehicle	proliferation	Rat_primary_oligodendrocyte
Std-6	vehicle	proliferation	Rat_primary_oligodendrocyte
Std-7	vehicle	proliferation	Rat_primary_oligodendrocyte
Std-8	vehicle	proliferation	Rat_primary_oligodendrocyte
D1	Dasatinib_50nM	differentiation	Rat_primary_oligodendrocyte
D2	Dasatinib_50nM	differentiation	Rat_primary_oligodendrocyte
D3	Dasatinib_50nM	differentiation	Rat_primary_oligodendrocyte
D4	Dasatinib_50nM	differentiation	Rat_primary_oligodendrocyte
Q1	Quercetin_50uM	differentiation	Rat_primary_oligodendrocyte
Q2	Quercetin_50uM	differentiation	Rat_primary_oligodendrocyte
Q3	Quercetin_50uM	differentiation	Rat_primary_oligodendrocyte
Q4	Quercetin_50uM	differentiation	Rat_primary_oligodendrocyte
Dq1	Dasatinib_50nM+Quercetin_50uM	differentiation	Rat_primary_oligodendrocyte
Dq2	Dasatinib_50nM+Quercetin_50uM	differentiation	Rat_primary_oligodendrocyte
Dq3	Dasatinib_50nM+Quercetin_50uM	differentiation	Rat_primary_oligodendrocyte
Dq4	Dasatinib_50nM+Quercetin_50uM	differentiation	Rat_primary_oligodendrocyte
Diff-1	vehicle	differentiation	Rat_primary_oligodendrocyte
Diff-2	vehicle	differentiation	Rat_primary_oligodendrocyte
Diff-3	vehicle	differentiation	Rat_primary_oligodendrocyte
Diff-4	vehicle	differentiation	Rat_primary_oligodendrocyte